name,salary_from,salary_to,salary_currency,area_name,published_at
Тестировщик/QA-инженер,,,,Санкт-Петербург,2022-12-15T10:56:51+0300
Инженер сервисной службы систем отопления,100000.0,,RUR,Санкт-Петербург,2022-12-15T08:38:35+0300
Оператор ЧПУ на мультикам,180000.0,350000.0,KZT,Алматы,2022-12-15T11:57:11+0300
Продуктовый аналитик в команду ленты и рекомендаций,,,,Санкт-Петербург,2022-12-15T10:50:38+0300
Механик автоколонны (большегрузный транспорт),,86000.0,RUR,Воронеж,2022-12-15T10:07:36+0300
Инсталлятор,48000.0,,RUR,Таврическое,2022-12-15T07:08:05+0300
Системный администратор,45000.0,,RUR,Томск,2022-12-15T07:43:11+0300
Руководитель проектов 1С,,250000.0,RUR,Москва,2022-12-15T09:00:38+0300
Руководитель проекта,,,,Пермь,2022-12-15T08:48:21+0300
Монтажник сетей спутниковой связи,30000.0,55000.0,RUR,Ижевск,2022-12-15T09:35:00+0300
Фрезеровщик,50000.0,70000.0,RUR,Воронеж,2022-12-15T11:33:09+0300
Руководитель проектов бизнес-процессов,,,,Москва,2022-12-15T11:04:21+0300
Ученик компьютерного мастера / Начинающий специалист / Мастер по ремонту компьютеров и ноутбуков,30000.0,80000.0,RUR,Саратов,2022-12-15T08:31:25+0300
Программист 1С,,260000.0,RUR,Москва,2022-12-15T09:26:23+0300
Специалист технической поддержки (junior),30000.0,36000.0,RUR,Тюмень,2022-12-15T09:25:47+0300
Инженер-механик,,170000.0,RUR,Красноярск,2022-12-15T11:52:45+0300
Digital Manager,,,,Москва,2022-12-15T10:26:23+0300
Графический дизайнер,,80000.0,RUR,Москва,2022-12-15T10:40:59+0300
Менеджер IT-проектов,,,,Санкт-Петербург,2022-12-15T11:52:39+0300
Токарь-универсал,45000.0,,RUR,Ижевск,2022-12-15T09:46:57+0300
Эксперт по вопросам интеграционных платежных сервисов,,,,Санкт-Петербург,2022-12-15T11:27:03+0300
Специалист технической поддержки,,,,Москва,2022-12-15T09:11:01+0300
"Менеджер IT, EdTech",100000.0,,RUR,Долгопрудный,2022-12-15T03:24:20+0300
Оператор станков с ЧПУ,80000.0,120000.0,RUR,Саратов,2022-12-15T08:57:47+0300
DevOps specialist,500000.0,800000.0,KZT,Алматы,2022-12-15T08:15:56+0300
Senior DevOps Engineer,,,,Москва,2022-12-15T11:05:36+0300
"Аналитик по качеству данных по направлению ""Обязательная отчетность""",,,,Москва,2022-12-15T11:49:16+0300
Наладчик КИПиА,40000.0,80000.0,RUR,Нальчик,2022-12-15T01:16:07+0300
Главный аналитик (клиентская аналитика),,,,Москва,2022-12-15T10:27:04+0300
Java-разработчик,,,,Москва,2022-12-15T09:56:18+0300
Токарь-универсал 5 разряда,132000.0,147000.0,RUR,Барнаул,2022-12-15T07:35:42+0300
